,Num_Acc,lum,agg,atm,col,lat,long,datetime
1913,202100044606,2,2,1,6,48.79932,2.42506,2021-04-09 19:00:00
1914,202100044649,1,1,1,2,48.8108627407,2.4489178981,2021-04-09 09:00:00
1915,202100044721,1,2,1,3,48.800701,2.484325,2021-04-07 12:30:00
1916,202100044722,1,2,1,3,48.820085,2.476883,2021-04-08 15:40:00
1917,202100044723,1,2,1,6,48.850152,2.496606,2021-04-08 14:15:00
1918,202100044724,1,2,1,6,48.82004,2.4734,2021-04-08 12:55:00
1919,202100044725,2,2,1,3,48.765204,2.408051,2021-04-07 20:15:00
1920,202100044726,1,2,1,2,48.72747,2.53108,2021-04-08 09:45:00
1921,202100044840,1,2,1,2,48.78925,2.36844,2021-04-06 13:00:00
1922,202100044841,1,2,1,6,48.7791,2.4922,2021-04-07 10:00:00
1923,202100044842,1,2,2,3,48.7702,2.468,2021-04-06 17:00:00
1924,202100044843,5,2,1,2,48.77475,2.48776,2021-04-04 03:54:00
1925,202100044844,1,2,1,7,48.769127,2.422047,2021-04-07 07:50:00
1926,202100044845,5,2,1,3,48.81596,2.50286,2021-04-07 00:10:00
1927,202100044846,3,2,1,6,48.80272,2.4253,2021-04-06 21:00:00
1928,202100044901,1,1,1,2,48.7536127064,2.3611575387,2021-04-07 08:45:00
1929,202100044902,1,1,1,7,48.82791,2.50364,2021-04-07 08:15:00
1930,202100044978,1,2,4,6,48.791,2.394,2021-04-06 17:25:00
1931,202100044979,1,2,1,2,48.81474,2.4634,2021-04-06 14:05:00
1932,202100044980,1,2,1,3,48.806172,2.349941,2021-04-06 13:15:00
1933,202100044981,1,2,1,6,48.7581,2.34408,2021-04-06 11:45:00
1934,202100045012,1,1,1,5,48.8520234289,2.4897042795,2021-04-06 19:30:00
1935,202100045013,1,1,1,4,48.8507,2.49071,2021-04-06 17:00:00
1936,202100045039,1,2,1,6,48.84987,2.43455,2021-04-04 16:49:00
1937,202100045040,1,2,1,6,48.82772,2.54395,2021-04-05 16:00:00
1938,202100045041,1,2,2,2,48.7813699069,2.5719380379,2021-04-05 14:15:00
1939,202100045094,1,1,1,6,48.78664,2.34504,2021-04-05 15:30:00
1940,202100045103,1,2,1,6,48.79351,2.39594,2021-04-02 18:50:00
1941,202100045146,5,2,1,2,48.73878,2.446857,2021-04-11 22:24:00
1942,202100045147,1,2,1,3,48.791793,2.474073,2021-04-04 17:15:00
1943,202100045148,5,2,1,3,48.78405,2.36724,2021-04-04 21:30:00
1944,202100045149,1,2,1,2,48.7946,2.36034,2021-04-04 19:05:00
1945,202100045150,1,2,1,3,48.801447,2.359491,2021-04-04 14:00:00
1946,202100045151,1,2,1,2,48.781245,2.437381,2021-04-04 16:30:00
1947,202100045203,2,1,1,6,48.81726,2.42169,2021-04-02 20:20:00
1948,202100045250,1,2,1,3,48.73305,2.45081,2021-04-02 17:58:00
1949,202100045251,1,2,1,2,48.79985871,2.47091677,2021-04-02 14:30:00
1950,202100045252,1,2,7,1,48.81214,2.35712,2021-04-03 16:30:00
1951,202100045253,1,2,1,3,48.73763,2.42145,2021-04-03 16:11:00
1952,202100045435,1,2,1,3,48.78824,2.48527,2021-04-02 14:45:00
1953,202100045436,5,2,1,3,48.81678,2.333709,2021-04-02 20:50:00
1954,202100045437,1,2,1,3,48.81348,2.38898,2021-04-02 17:35:00
1955,202100045438,1,2,1,6,48.81468,2.40188,2021-04-02 16:15:00
1956,202100045439,1,2,1,6,48.81325,2.38513,2021-04-02 15:05:00
1957,202100045440,1,2,1,3,48.81994,2.42024,2021-04-02 16:35:00
1958,202100045441,1,2,1,3,48.840519,2.474235,2021-04-02 21:20:00
1959,202100045523,1,1,1,4,48.7876582956,2.3449126072,2021-04-01 15:05:00
1960,202100045527,5,1,1,6,48.84329,2.49259,2021-04-02 21:10:00
1961,202100045641,1,2,1,3,48.78196,2.40779,2021-04-01 17:45:00
1962,202100045642,1,2,1,3,48.75236,2.47259,2021-04-01 10:10:00
1963,202100045643,1,2,1,2,48.81069,2.46989,2021-03-31 18:30:00
1964,202100045644,1,2,1,6,48.78717,2.36783,2021-04-01 12:30:00
1965,202100045645,1,2,1,3,48.79462,2.36025,2021-04-01 11:30:00
1966,202100045646,1,2,1,3,48.7913,2.4648,2021-04-01 19:44:00
1967,202100045647,1,2,1,3,48.80508,2.55783,2021-04-01 08:20:00
1968,202100045648,3,2,1,3,48.76438,2.52542,2021-04-01 06:30:00
1969,202100045800,1,2,1,3,48.84519,2.43167,2021-03-31 11:50:00
1970,202100045801,2,2,1,2,48.81426,2.42379,2021-03-31 19:10:00
1971,202100045802,5,2,1,1,48.82173,2.39346,2021-03-31 21:35:00
